Unnamed: 0,template_resource_cpu,template_resource_memory,template_resource_id,template_resource_location
0,48000,262144,gct_346547406713,gct_f
2,28407,87424,gct_14380549229,gct_d
4,34032,174848,gct_34193899470,gct_e
5,18563,174848,gct_856351521,gct_c
6,18563,87424,gct_1639348187,gct_a
7,28407,174848,gct_27365677442,gct_c
11,12446,87424,gct_153738699,gct_e
12,46032,262144,gct_67391435918,gct_e
20,34032,349696,gct_20309970618,gct_b
72,48000,524288,gct_208986372381,gct_b
124,46032,524288,gct_53766985104,gct_a
160,48000,131072,gct_1821649003,gct_h
221,12446,174848,gct_31985399,gct_g
300,46032,131072,gct_174876764050,gct_c
408,12446,43712,gct_391838080,gct_e
987,28407,349696,gct_260722835942,gct_h
6351,34032,131072,gct_35872531884,gct_a
7792,24000,131072,gct_36406054819,gct_e
32017,28407,131072,gct_363787778109,gct_d
40250,24000,32768,gct_188788629234,gct_e
42441,23016,131072,gct_10101671434,gct_g
70857,34032,262144,gct_80280558732,gct_d
72980,23016,262144,gct_260833389731,gct_g
